GEOID,NAME,label,top1,top2,top3,pop,pct_nhpi,pct_tot,metro
53053071706,"Census Tract 717.06, Pierce County, Washington",Guamanian or Chamorro,202,97%,11%,202,0.97,0.11,23
06037571102,"Census Tract 5711.02, Los Angeles County, California",Samoan,200,56%,5%,200,0.56,0.05,11
06067004905,"Census Tract 49.05, Sacramento County, California",Fijian,200,52%,3%,200,0.52,0.03,18
53053063300,"Census Tract 633, Pierce County, Washington",Samoan,200,58%,2%,200,0.58,0.02,23
06071002028,"Census Tract 20.28, San Bernardino County, California",Tongan,199,92%,4%,199,0.92,0.04,17
53033029303,"Census Tract 293.03, King County, Washington",Fijian,199,94%,3%,199,0.94,0.03,23
15003003300,"Census Tract 33, Honolulu County, Hawaii",Native Hawaiian,199,93%,16%,199,0.93,0.16,25
32003003240,"Census Tract 32.40, Clark County, Nevada",Native Hawaiian,198,100%,5%,198,1,0.05,10
32003004915,"Census Tract 49.15, Clark County, Nevada",Tongan,198,87%,6%,198,0.87,0.06,10
06065040902,"Census Tract 409.02, Riverside County, California",Samoan,197,100%,3%,197,1,0.03,17
53053062400,"Census Tract 624, Pierce County, Washington",Guamanian or Chamorro,196,100%,3%,196,1,0.03,23
06037553100,"Census Tract 5531, Los Angeles County, California",Samoan,195,77%,3%,195,0.77,0.03,11
48201552900,"Census Tract 5529, Harris County, Texas",Samoan,195,100%,2%,195,1,0.02,8
15003008918,"Census Tract 89.18, Honolulu County, Hawaii",Native Hawaiian,195,53%,4%,195,0.53,0.04,25
49035112916,"Census Tract 1129.16, Salt Lake County, Utah",Samoan,195,64%,4%,195,0.64,0.04,19
53061040300,"Census Tract 403, Snohomish County, Washington",Native Hawaiian,194,100%,6%,194,1,0.06,23
15003011000,"Census Tract 110, Honolulu County, Hawaii",Native Hawaiian,193,78%,5%,193,0.78,0.05,25
32003005434,"Census Tract 54.34, Clark County, Nevada",Samoan,193,99%,4%,193,0.99,0.04,10
06037228600,"Census Tract 2286, Los Angeles County, California",Samoan,192,100%,4%,192,1,0.04,11
06085506304,"Census Tract 5063.04, Santa Clara County, California",Samoan,192,89%,4%,192,0.89,0.04,22
15003006301,"Census Tract 63.01, Honolulu County, Hawaii",Samoan,192,56%,5%,192,0.56,0.05,25
05143011200,"Census Tract 112, Washington County, Arkansas",Marshallese,192,100%,9%,192,1,0.09,3
06081610400,"Census Tract 6104, San Mateo County, California",Fijian,191,93%,3%,191,0.93,0.03,21
15003003601,"Census Tract 36.01, Honolulu County, Hawaii",Native Hawaiian,191,73%,5%,191,0.73,0.05,25
15003006701,"Census Tract 67.01, Honolulu County, Hawaii",Marshallese,191,56%,3%,191,0.56,0.03,25
06013336101,"Census Tract 3361.01, Contra Costa County, California",Tongan,190,100%,4%,190,1,0.04,21
06037405202,"Census Tract 4052.02, Los Angeles County, California",Tongan,190,82%,4%,190,0.82,0.04,11
